Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Frecuencia;Total
Hombres;Total;Asturias (Principado de);Ninguno;34,31
Hombres;Total;Asturias (Principado de);1 o 2 días a la semana;14,95
Hombres;Total;Asturias (Principado de);3 o 4 días a la semana;23,76
Hombres;Total;Asturias (Principado de);5 o 6 días a la semana;22,11
Hombres;Total;Asturias (Principado de);7 días a la semana;4,87
Hombres;Total;Balears (Illes);TOTAL;100,00
Hombres;Total;Balears (Illes);Ninguno;44,90
Hombres;Total;Balears (Illes);1 o 2 días a la semana;7,48
Hombres;Total;Balears (Illes);3 o 4 días a la semana;19,20
Hombres;Total;Balears (Illes);5 o 6 días a la semana;9,55
Hombres;Total;Balears (Illes);7 días a la semana;18,87
Hombres;Total;Canarias;TOTAL;100,00
Hombres;Total;Canarias;Ninguno;47,98
Hombres;Total;Canarias;1 o 2 días a la semana;8,09
Hombres;Total;Canarias;3 o 4 días a la semana;26,34
Hombres;Total;Canarias;5 o 6 días a la semana;14,50
Hombres;Total;Canarias;7 días a la semana;3,08
Hombres;Total;Cantabria;TOTAL;100,00
Hombres;Total;Cantabria;Ninguno;59,01
Hombres;Total;Cantabria;1 o 2 días a la semana;7,51
Hombres;Total;Cantabria;3 o 4 días a la semana;16,69
Hombres;Total;Cantabria;5 o 6 días a la semana;10,47
Hombres;Total;Cantabria;7 días a la semana;6,31
Hombres;Total;Castilla y León;TOTAL;100,00
Hombres;Total;Castilla y León;Ninguno;44,41
Hombres;Total;Castilla y León;1 o 2 días a la semana;14,89
Hombres;Total;Castilla y León;3 o 4 días a la semana;15,59
Hombres;Total;Castilla y León;5 o 6 días a la semana;11,85
Hombres;Total;Castilla y León;7 días a la semana;13,27
Hombres;Total;Castilla-La Mancha;TOTAL;100,00
Hombres;Total;Castilla-La Mancha;Ninguno;53,60
Hombres;Total;Castilla-La Mancha;1 o 2 días a la semana;9,62
Hombres;Total;Castilla-La Mancha;3 o 4 días a la semana;18,61
Hombres;Total;Castilla-La Mancha;5 o 6 días a la semana;9,16
Hombres;Total;Castilla-La Mancha;7 días a la semana;9,01
Hombres;Total;Cataluña;TOTAL;100,00
Hombres;Total;Cataluña;Ninguno;46,34
Hombres;Total;Cataluña;1 o 2 días a la semana;15,18
Hombres;Total;Cataluña;3 o 4 días a la semana;19,47
Hombres;Total;Cataluña;5 o 6 días a la semana;11,97
Hombres;Total;Cataluña;7 días a la semana;7,04
Hombres;Total;Comunitat Valenciana;TOTAL;100,00
Hombres;Total;Comunitat Valenciana;Ninguno;46,34
Hombres;Total;Comunitat Valenciana;1 o 2 días a la semana;14,67
Hombres;Total;Comunitat Valenciana;3 o 4 días a la semana;19,18
Hombres;Total;Comunitat Valenciana;5 o 6 días a la semana;11,80
Hombres;Total;Comunitat Valenciana;7 días a la semana;8,02
Hombres;Total;Extremadura;TOTAL;100,00
Hombres;Total;Extremadura;Ninguno;60,91
Hombres;Total;Extremadura;1 o 2 días a la semana;12,84
Hombres;Total;Extremadura;3 o 4 días a la semana;12,19
Hombres;Total;Extremadura;5 o 6 días a la semana;8,48
Hombres;Total;Extremadura;7 días a la semana;5,58
Hombres;Total;Galicia;TOTAL;100,00
Hombres;Total;Galicia;Ninguno;58,26
Hombres;Total;Galicia;1 o 2 días a la semana;12,43
Hombres;Total;Galicia;3 o 4 días a la semana;16,81
Hombres;Total;Galicia;5 o 6 días a la semana;7,92
Hombres;Total;Galicia;7 días a la semana;4,58
Hombres;Total;Madrid (Comunidad de);TOTAL;100,00
Hombres;Total;Madrid (Comunidad de);Ninguno;39,52
Hombres;Total;Madrid (Comunidad de);1 o 2 días a la semana;14,79
Hombres;Total;Madrid (Comunidad de);3 o 4 días a la semana;23,25
Hombres;Total;Madrid (Comunidad de);5 o 6 días a la semana;12,52
Hombres;Total;Madrid (Comunidad de);7 días a la semana;9,91
Hombres;Total;Murcia (Región de);TOTAL;100,00
Hombres;Total;Murcia (Región de);Ninguno;42,07
Hombres;Total;Murcia (Región de);1 o 2 días a la semana;15,60
Hombres;Total;Murcia (Región de);3 o 4 días a la semana;23,32
Hombres;Total;Murcia (Región de);5 o 6 días a la semana;13,27
Hombres;Total;Murcia (Región de);7 días a la semana;5,73
Hombres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Hombres;Total;Navarra (Comunidad Foral de);Ninguno;30,08
Hombres;Total;Navarra (Comunidad Foral de);1 o 2 días a la semana;14,60
Hombres;Total;Navarra (Comunidad Foral de);3 o 4 días a la semana;19,60
Hombres;Total;Navarra (Comunidad Foral de);5 o 6 días a la semana;13,36
Hombres;Total;Navarra (Comunidad Foral de);7 días a la semana;22,36
Hombres;Total;País Vasco;TOTAL;100,00
Hombres;Total;País Vasco;Ninguno;44,31
Hombres;Total;País Vasco;1 o 2 días a la semana;12,46
Hombres;Total;País Vasco;3 o 4 días a la semana;21,53
Hombres;Total;País Vasco;5 o 6 días a la semana;8,28
Hombres;Total;País Vasco;7 días a la semana;13,42
Hombres;Total;Rioja (La);TOTAL;100,00
Hombres;Total;Rioja (La);Ninguno;46,48
Hombres;Total;Rioja (La);1 o 2 días a la semana;9,66
Hombres;Total;Rioja (La);3 o 4 días a la semana;21,39
Hombres;Total;Rioja (La);5 o 6 días a la semana;9,36
Hombres;Total;Rioja (La);7 días a la semana;13,11
Hombres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Ninguno;56,63
Hombres;Total;Ceuta (Ciudad Autónoma de);1 o 2 días a la semana;6,42
Hombres;Total;Ceuta (Ciudad Autónoma de);3 o 4 días a la semana;18,44
Hombres;Total;Ceuta (Ciudad Autónoma de);5 o 6 días a la semana;17,78
Hombres;Total;Ceuta (Ciudad Autónoma de);7 días a la semana;0,74
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Ninguno;42,47
Hombres;Total;Melilla (Ciudad Autónoma de);1 o 2 días a la semana;6,22
Hombres;Total;Melilla (Ciudad Autónoma de);3 o 4 días a la semana;27,04
Hombres;Total;Melilla (Ciudad Autónoma de);5 o 6 días a la semana;23,43
Hombres;Total;Melilla (Ciudad Autónoma de);7 días a la semana;0,85
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Ninguno;54,75
Mujeres;Total;;1 o 2 días a la semana;12,98
Mujeres;Total;;3 o 4 días a la semana;16,44
Mujeres;Total;;5 o 6 días a la semana;8,83
Mujeres;Total;;7 días a la semana;7,01
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Ninguno;57,43
Mujeres;Total;Andalucía;1 o 2 días a la semana;9,92
Mujeres;Total;Andalucía;3 o 4 días a la semana;17,88
Mujeres;Total;Andalucía;5 o 6 días a la semana;8,73
Mujeres;Total;Andalucía;7 días a la semana;6,03
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Ninguno;52,34
