Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Número de cagarrillos;Total
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;47,63
Hombres;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;28,89
Hombres;Total;Melilla (Ciudad Autónoma de);20 o más cigarrillos;23,48
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Entre 01 y 09 cigarrillos;40,25
Mujeres;Total;;Entre 10 y 19 cigarrillos;38,95
Mujeres;Total;;20 o más cigarrillos;20,81
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Entre 01 y 09 cigarrillos;33,25
Mujeres;Total;Andalucía;Entre 10 y 19 cigarrillos;43,61
Mujeres;Total;Andalucía;20 o más cigarrillos;23,14
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Entre 01 y 09 cigarrillos;48,19
Mujeres;Total;Aragón;Entre 10 y 19 cigarrillos;30,01
Mujeres;Total;Aragón;20 o más cigarrillos;21,80
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Entre 01 y 09 cigarrillos;37,94
Mujeres;Total;Asturias (Principado de);Entre 10 y 19 cigarrillos;40,70
Mujeres;Total;Asturias (Principado de);20 o más cigarrillos;21,36
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Entre 01 y 09 cigarrillos;37,30
Mujeres;Total;Balears (Illes);Entre 10 y 19 cigarrillos;36,34
Mujeres;Total;Balears (Illes);20 o más cigarrillos;26,35
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Entre 01 y 09 cigarrillos;30,07
Mujeres;Total;Canarias;Entre 10 y 19 cigarrillos;47,75
Mujeres;Total;Canarias;20 o más cigarrillos;22,18
Mujeres;Total;Cantabria;TOTAL;100,00
Mujeres;Total;Cantabria;Entre 01 y 09 cigarrillos;39,85
Mujeres;Total;Cantabria;Entre 10 y 19 cigarrillos;33,58
Mujeres;Total;Cantabria;20 o más cigarrillos;26,57
Mujeres;Total;Castilla y León;TOTAL;100,00
Mujeres;Total;Castilla y León;Entre 01 y 09 cigarrillos;44,67
Mujeres;Total;Castilla y León;Entre 10 y 19 cigarrillos;34,78
Mujeres;Total;Castilla y León;20 o más cigarrillos;20,55
Mujeres;Total;Castilla-La Mancha;TOTAL;100,00
Mujeres;Total;Castilla-La Mancha;Entre 01 y 09 cigarrillos;38,49
Mujeres;Total;Castilla-La Mancha;Entre 10 y 19 cigarrillos;43,55
Mujeres;Total;Castilla-La Mancha;20 o más cigarrillos;17,96
Mujeres;Total;Cataluña;TOTAL;100,00
Mujeres;Total;Cataluña;Entre 01 y 09 cigarrillos;42,46
Mujeres;Total;Cataluña;Entre 10 y 19 cigarrillos;35,96
Mujeres;Total;Cataluña;20 o más cigarrillos;21,59
Mujeres;Total;Comunitat Valenciana;TOTAL;100,00
Mujeres;Total;Comunitat Valenciana;Entre 01 y 09 cigarrillos;46,08
Mujeres;Total;Comunitat Valenciana;Entre 10 y 19 cigarrillos;32,84
Mujeres;Total;Comunitat Valenciana;20 o más cigarrillos;21,09
Mujeres;Total;Extremadura;TOTAL;100,00
Mujeres;Total;Extremadura;Entre 01 y 09 cigarrillos;35,97
Mujeres;Total;Extremadura;Entre 10 y 19 cigarrillos;34,66
Mujeres;Total;Extremadura;20 o más cigarrillos;29,36
Mujeres;Total;Galicia;TOTAL;100,00
Mujeres;Total;Galicia;Entre 01 y 09 cigarrillos;33,32
Mujeres;Total;Galicia;Entre 10 y 19 cigarrillos;48,45
Mujeres;Total;Galicia;20 o más cigarrillos;18,23
Mujeres;Total;Madrid (Comunidad de);TOTAL;100,00
Mujeres;Total;Madrid (Comunidad de);Entre 01 y 09 cigarrillos;42,68
Mujeres;Total;Madrid (Comunidad de);Entre 10 y 19 cigarrillos;38,50
Mujeres;Total;Madrid (Comunidad de);20 o más cigarrillos;18,81
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Entre 01 y 09 cigarrillos;55,63
Mujeres;Total;Murcia (Región de);Entre 10 y 19 cigarrillos;30,28
Mujeres;Total;Murcia (Región de);20 o más cigarrillos;14,09
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Entre 01 y 09 cigarrillos;41,70
Mujeres;Total;Navarra (Comunidad Foral de);Entre 10 y 19 cigarrillos;46,51
Mujeres;Total;Navarra (Comunidad Foral de);20 o más cigarrillos;11,79
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Entre 01 y 09 cigarrillos;47,72
Mujeres;Total;País Vasco;Entre 10 y 19 cigarrillos;36,44
Mujeres;Total;País Vasco;20 o más cigarrillos;15,84
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Entre 01 y 09 cigarrillos;51,96
Mujeres;Total;Rioja (La);Entre 10 y 19 cigarrillos;38,81
Mujeres;Total;Rioja (La);20 o más cigarrillos;9,23
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;31,57
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;48,05
Mujeres;Total;Ceuta (Ciudad Autónoma de);20 o más cigarrillos;20,38
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;34,69
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;51,32
Mujeres;Total;Melilla (Ciudad Autónoma de);20 o más cigarrillos;13,99
