Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Número de cigarrillos;Total
Mujeres;Total;Cataluña;Entre 01 y 09 unidades;42,75
Mujeres;Total;Cataluña;Entre 10 y 19 unidades;30,15
Mujeres;Total;Cataluña;20 o más unidades;27,10
Mujeres;Total;Comunitat Valenciana;Total;100,00
Mujeres;Total;Comunitat Valenciana;Entre 01 y 09 unidades;33,65
Mujeres;Total;Comunitat Valenciana;Entre 10 y 19 unidades;33,03
Mujeres;Total;Comunitat Valenciana;20 o más unidades;33,32
Mujeres;Total;Extremadura;Total;100,00
Mujeres;Total;Extremadura;Entre 01 y 09 unidades;37,76
Mujeres;Total;Extremadura;Entre 10 y 19 unidades;30,87
Mujeres;Total;Extremadura;20 o más unidades;31,37
Mujeres;Total;Galicia;Total;100,00
Mujeres;Total;Galicia;Entre 01 y 09 unidades;34,93
Mujeres;Total;Galicia;Entre 10 y 19 unidades;41,26
Mujeres;Total;Galicia;20 o más unidades;23,81
Mujeres;Total;Madrid (Comunidad de);Total;100,00
Mujeres;Total;Madrid (Comunidad de);Entre 01 y 09 unidades;35,81
Mujeres;Total;Madrid (Comunidad de);Entre 10 y 19 unidades;37,52
Mujeres;Total;Madrid (Comunidad de);20 o más unidades;26,68
Mujeres;Total;Murcia (Región de);Total;100,00
Mujeres;Total;Murcia (Región de);Entre 01 y 09 unidades;38,65
Mujeres;Total;Murcia (Región de);Entre 10 y 19 unidades;27,70
Mujeres;Total;Murcia (Región de);20 o más unidades;33,65
Mujeres;Total;Navarra (Comunidad Foral de);Total;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Entre 01 y 09 unidades;43,75
Mujeres;Total;Navarra (Comunidad Foral de);Entre 10 y 19 unidades;38,57
Mujeres;Total;Navarra (Comunidad Foral de);20 o más unidades;17,68
Mujeres;Total;País Vasco;Total;100,00
Mujeres;Total;País Vasco;Entre 01 y 09 unidades;39,23
Mujeres;Total;País Vasco;Entre 10 y 19 unidades;28,35
Mujeres;Total;País Vasco;20 o más unidades;32,42
Mujeres;Total;Rioja (La);Total;100,00
Mujeres;Total;Rioja (La);Entre 01 y 09 unidades;40,73
Mujeres;Total;Rioja (La);Entre 10 y 19 unidades;30,10
Mujeres;Total;Rioja (La);20 o más unidades;29,16
Mujeres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 unidades;10,74
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 unidades;53,72
Mujeres;Total;Ceuta (Ciudad Autónoma de);20 o más unidades;35,55
Mujeres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 unidades;37,83
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 unidades;19,04
Mujeres;Total;Melilla (Ciudad Autónoma de);20 o más unidades;43,13
