Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Número de cagarrillos;Total
Mujeres;Total;Madrid (Comunidad de);Entre 10 y 19 cigarrillos;39,81
Mujeres;Total;Madrid (Comunidad de);20 o más cigarrillos;24,04
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Entre 01 y 09 cigarrillos;39,26
Mujeres;Total;Murcia (Región de);Entre 10 y 19 cigarrillos;38,24
Mujeres;Total;Murcia (Región de);20 o más cigarrillos;22,50
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Entre 01 y 09 cigarrillos;50,73
Mujeres;Total;Navarra (Comunidad Foral de);Entre 10 y 19 cigarrillos;30,33
Mujeres;Total;Navarra (Comunidad Foral de);20 o más cigarrillos;18,94
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Entre 01 y 09 cigarrillos;37,63
Mujeres;Total;País Vasco;Entre 10 y 19 cigarrillos;39,81
Mujeres;Total;País Vasco;20 o más cigarrillos;22,56
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Entre 01 y 09 cigarrillos;46,09
Mujeres;Total;Rioja (La);Entre 10 y 19 cigarrillos;35,08
Mujeres;Total;Rioja (La);20 o más cigarrillos;18,83
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;.
Mujeres;Total;Ceuta (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;.
Mujeres;Total;Ceuta (Ciudad Autónoma de);20 o más cigarrillos;.
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 01 y 09 cigarrillos;.
Mujeres;Total;Melilla (Ciudad Autónoma de);Entre 10 y 19 cigarrillos;.
Mujeres;Total;Melilla (Ciudad Autónoma de);20 o más cigarrillos;.
